X,Y,Z,licence
410340,5735760,66.30784056,
410440,5735760,66.1085636,
410540,5735760,65.89046876,
410640,5735760,65.64464048,
410740,5735760,65.37874408,
410840,5735760,65.12825652,
410940,5735760,64.91659476,
411040,5735760,64.75025876,
411140,5735760,64.669961,
411240,5735760,64.67428404,
411340,5735760,64.72022576,
411440,5735760,64.75891996,
411540,5735760,64.77124812,
411640,5735760,64.7542136,
411740,5735760,64.71345948,
411840,5735760,64.6546954,
411940,5735760,64.56908604,
412040,5735760,64.4947572,
402040,5735660,61.65529112,
402140,5735660,62.05659372,
402240,5735660,62.500758,
402340,5735660,62.9628408,
402440,5735660,63.42866144,
402540,5735660,63.90678884,
402640,5735660,64.41886292,
402740,5735660,64.943486,
402840,5735660,65.50797612,
402940,5735660,66.06579132,
403040,5735660,66.57160976,
403140,5735660,67.01851688,
403240,5735660,67.4068646,
403340,5735660,67.71333528,
403440,5735660,68.05910344,
403540,5735660,68.49344752,
403640,5735660,68.93218236,
403740,5735660,69.38915432,
403840,5735660,69.82776676,
403940,5735660,70.13977652,
404040,5735660,70.31811528,
404140,5735660,70.38631656,
404240,5735660,70.36855876,
404340,5735660,70.28723932,
404440,5735660,70.1551272,
404540,5735660,69.94561528,
404640,5735660,69.63339932,
404740,5735660,69.27376916,
404840,5735660,68.93382596,
404940,5735660,68.6743536,
405040,5735660,68.48870668,
405140,5735660,68.35210428,
405240,5735660,68.24807804,
405340,5735660,68.14579104,
405440,5735660,68.02757732,
405540,5735660,67.88493564,
405640,5735660,67.73751868,
405740,5735660,67.59691468,
405840,5735660,67.47438728,
405940,5735660,67.37978944,
406040,5735660,67.31877856,
406140,5735660,67.29000728,
406240,5735660,67.2881322,
406340,5735660,67.30856716,
406440,5735660,67.35305144,
406540,5735660,67.42197996,
406640,5735660,67.51102628,
406740,5735660,67.60764712,
406840,5735660,67.68246672,
406940,5735660,67.69600616,
407040,5735660,67.62231108,
407140,5735660,67.47797144,
407240,5735660,67.31316824,
407340,5735660,67.1381908,
407440,5735660,66.9470214,
407540,5735660,66.7738488,
407640,5735660,66.64660984,
407740,5735660,66.56641596,
407840,5735660,66.527984,
407940,5735660,66.5218738,
408040,5735660,66.5378108,
408140,5735660,66.57263864,
408240,5735660,66.62587824,
408340,5735660,66.69721956,
408440,5735660,66.78466312,
408540,5735660,66.88815728,
408640,5735660,67.02607704,
408740,5735660,67.23521668,
408840,5735660,67.49277096,
