T_C,P_MPa,spinel,orthopyroxene,olivine,feldspar,clinopyroxene,biotite
1076.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1071.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1066.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1061.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1056.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1051.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1046.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1041.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1036.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1031.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1026.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1021.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1016.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1011.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1006.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1001.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
996.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
991.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
986.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
981.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
976.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
971.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
966.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
961.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
956.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
951.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
946.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
941.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
936.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
931.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
926.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
921.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
916.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
911.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
906.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
